TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Shake It Off,Taylor Swift,00:40:25,00:44:06,221
2,Girls Like Me,Girly Girl Productions,00:46:31,00:48:42,131
3,What Is Love,Haddaway,01:04:27,01:08:59,272
4,Scatman,Scatman John,01:14:21,01:18:07,226
5,Crazy Frog,Axel F,01:18:43,01:21:35,172
6,I'm Bringing Home A Baby Bumblebee,Unknown Artist,01:28:11,01:29:04,53
7,I got a Feeling,Black Eyed Peas,01:31:02,01:35:59,297
8,Tainted Love,Soft Cell,01:41:46,01:44:24,158
9,This Is Not Enough,HXLX,01:45:50,01:49:24,214
