TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Sweet Transvestite,Tim Curry,00:29:50,00:33:10,200
2,Don't Stop Me Now,Queen,00:36:05,00:39:44,219
3,My Heart Will Go On,Celine Dion,00:41:37,00:46:36,299
4,A Whole New World,Lea Salonga & Brad Kane,00:49:08,00:51:48,160
5,Ave Maria,Franz Schubert,00:53:15,00:57:42,267
