TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Scatman,Scatman John,00:22:00,00:25:41,221
2,Fancy Baby Doll,Yukari Tamura,00:28:00,00:32:10,250
3,Who's Lovin' You,The Jackson 5,00:34:45,00:38:43,238
4,At Last,Etta James,00:42:30,00:45:30,180
5,Ride on Time,Tatsuro Yamashita,00:47:00,00:51:26,266
6,Grave Robbing Boys (California Gurls),Kaminari Clara,01:58:20,02:02:14,234
7,Learn to Meow,Xiao Pan Pan & Xiao Feng Feng,02:08:40,02:12:11,211
8,That Don't Impress Me Much,Shania Twain,02:12:18,02:15:57,219
