TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Baby One More Time,Britney Spears,00:30:29,00:34:00,211
2,WAP,Cardy B,00:40:15,00:43:11,176
3,Macaroni song,Unknown Artist,00:46:31,00:46:49,18
4,Too sweet,Hozier,01:04:23,01:08:33,250
5,Beautiful,Christine Aguilera,01:14:02,01:18:03,241
6,Karma,Jojo Siwa,01:39:11,01:42:12,181
7,Phantom of the opera,Andrew Lloyd Webber,01:46:38,01:50:57,259
8,Chop Suey!,System of a Down,01:54:18,01:57:45,207
9,Welcome to the Black Parade,My Chemical Romance,02:01:10,02:06:20,310
